id,id_cl,label,given_original_label,mturk_given,mturk_guessed,mturk_neutral,mturk_off_topic
209015,test/neg/9015_2,0,Negative,0,5,0,0
216970,test/pos/4470_7,1,Positive,0,3,2,0
202330,test/neg/2330_2,0,Negative,1,4,0,0
217569,test/pos/5069_8,1,Positive,2,0,1,2
206807,test/neg/6807_1,0,Negative,0,3,2,0
201213,test/neg/1213_3,0,Negative,0,5,0,0
209586,test/neg/9586_2,0,Negative,1,2,2,0
209935,test/neg/9935_3,0,Negative,1,0,4,0
224216,test/pos/11716_10,1,Positive,0,0,0,5
205521,test/neg/5521_4,0,Negative,2,1,1,1
201751,test/neg/1751_4,0,Negative,0,3,2,0
202290,test/neg/2290_4,0,Negative,0,4,1,0
203464,test/neg/3464_2,0,Negative,0,0,0,5
209200,test/neg/9200_3,0,Negative,0,5,0,0
224532,test/pos/12032_7,1,Positive,0,1,4,0
200887,test/neg/887_2,0,Negative,0,5,0,0
214658,test/pos/2158_10,1,Positive,2,0,3,0
222999,test/pos/10499_8,1,Positive,2,1,2,0
220923,test/pos/8423_10,1,Positive,0,5,0,0
212404,test/neg/12404_4,0,Negative,0,3,2,0
207097,test/neg/7097_1,0,Negative,0,5,0,0
202187,test/neg/2187_1,0,Negative,1,3,0,1
218770,test/pos/6270_10,1,Positive,1,0,4,0
216075,test/pos/3575_7,1,Positive,0,5,0,0
221507,test/pos/9007_8,1,Positive,0,4,0,1
219430,test/pos/6930_7,1,Positive,0,3,2,0
212926,test/pos/426_9,1,Positive,0,4,0,1
202835,test/neg/2835_4,0,Negative,0,5,0,0
211165,test/neg/11165_4,0,Negative,0,2,3,0
221003,test/pos/8503_7,1,Positive,0,5,0,0
209094,test/neg/9094_4,0,Negative,0,5,0,0
207945,test/neg/7945_2,0,Negative,4,0,1,0
213657,test/pos/1157_9,1,Positive,0,3,1,1
222038,test/pos/9538_10,1,Positive,2,1,0,2
209353,test/neg/9353_4,0,Negative,3,0,2,0
210441,test/neg/10441_4,0,Negative,5,0,0,0
211332,test/neg/11332_4,0,Negative,0,5,0,0
211653,test/neg/11653_3,0,Negative,1,3,1,0
207086,test/neg/7086_4,0,Negative,0,2,2,1
208330,test/neg/8330_3,0,Negative,3,0,2,0
216552,test/pos/4052_7,1,Positive,0,1,4,0
213147,test/pos/647_9,1,Positive,1,3,1,0
214922,test/pos/2422_7,1,Positive,0,2,2,1
216122,test/pos/3622_7,1,Positive,0,2,2,1
207652,test/neg/7652_3,0,Negative,0,5,0,0
201445,test/neg/1445_4,0,Negative,0,5,0,0
204280,test/neg/4280_4,0,Negative,0,2,3,0
223981,test/pos/11481_10,1,Positive,4,0,1,0
212609,test/pos/109_8,1,Positive,0,3,2,0
219557,test/pos/7057_7,1,Positive,1,0,4,0
206667,test/neg/6667_2,0,Negative,0,1,3,1
214406,test/pos/1906_7,1,Positive,1,1,3,0
209354,test/neg/9354_4,0,Negative,0,4,1,0
204620,test/neg/4620_3,0,Negative,0,3,2,0
215028,test/pos/2528_10,1,Positive,0,1,2,2
223693,test/pos/11193_7,1,Positive,2,1,2,0
220946,test/pos/8446_10,1,Positive,4,0,0,1
212793,test/pos/293_10,1,Positive,0,0,0,5
212332,test/neg/12332_4,0,Negative,0,0,5,0
207905,test/neg/7905_4,0,Negative,0,1,4,0
200199,test/neg/199_4,0,Negative,0,5,0,0
214082,test/pos/1582_8,1,Positive,0,5,0,0
204614,test/neg/4614_3,0,Negative,0,5,0,0
206396,test/neg/6396_4,0,Negative,0,5,0,0
221530,test/pos/9030_7,1,Positive,2,0,3,0
200153,test/neg/153_4,0,Negative,0,2,3,0
215280,test/pos/2780_7,1,Positive,0,4,1,0
216143,test/pos/3643_7,1,Positive,2,2,1,0
206548,test/neg/6548_4,0,Negative,0,2,3,0
208102,test/neg/8102_4,0,Negative,0,4,1,0
201872,test/neg/1872_4,0,Negative,0,4,1,0
203547,test/neg/3547_4,0,Negative,2,2,1,0
207017,test/neg/7017_2,0,Negative,0,4,0,1
218546,test/pos/6046_10,1,Positive,0,2,0,3
200700,test/neg/700_4,0,Negative,1,1,3,0
202772,test/neg/2772_4,0,Negative,0,2,3,0
209072,test/neg/9072_4,0,Negative,0,5,0,0
206871,test/neg/6871_3,0,Negative,0,1,4,0
211715,test/neg/11715_3,0,Negative,0,5,0,0
221099,test/pos/8599_7,1,Positive,0,3,2,0
211271,test/neg/11271_4,0,Negative,0,2,3,0
202289,test/neg/2289_3,0,Negative,1,1,1,2
220134,test/pos/7634_7,1,Positive,0,3,2,0
208057,test/neg/8057_4,0,Negative,3,0,2,0
220634,test/pos/8134_7,1,Positive,0,4,1,0
219022,test/pos/6522_10,1,Positive,3,0,0,2
207618,test/neg/7618_3,0,Negative,4,0,1,0
222759,test/pos/10259_10,1,Positive,2,2,1,0
223752,test/pos/11252_7,1,Positive,0,0,1,4
208879,test/neg/8879_4,0,Negative,3,2,0,0
206461,test/neg/6461_2,0,Negative,2,2,0,1
206513,test/neg/6513_4,0,Negative,0,5,0,0
214401,test/pos/1901_10,1,Positive,0,5,0,0
210893,test/neg/10893_4,0,Negative,0,5,0,0
207746,test/neg/7746_2,0,Negative,0,3,2,0
220689,test/pos/8189_7,1,Positive,0,5,0,0
201370,test/neg/1370_4,0,Negative,2,1,2,0
218653,test/pos/6153_10,1,Positive,1,1,0,3
203708,test/neg/3708_1,0,Negative,1,3,1,0
221454,test/pos/8954_7,1,Positive,0,2,3,0
208742,test/neg/8742_3,0,Negative,0,4,1,0
205292,test/neg/5292_3,0,Negative,0,4,1,0
211405,test/neg/11405_3,0,Negative,0,2,3,0
208679,test/neg/8679_4,0,Negative,0,3,2,0
224496,test/pos/11996_7,1,Positive,5,0,0,0
208305,test/neg/8305_3,0,Negative,0,5,0,0
223949,test/pos/11449_8,1,Positive,2,0,3,0
218999,test/pos/6499_8,1,Positive,0,4,0,1
209837,test/neg/9837_4,0,Negative,0,5,0,0
221473,test/pos/8973_7,1,Positive,2,0,3,0
219815,test/pos/7315_7,1,Positive,1,1,3,0
207619,test/neg/7619_4,0,Negative,4,1,0,0
206761,test/neg/6761_3,0,Negative,1,3,1,0
208996,test/neg/8996_4,0,Negative,0,1,4,0
212662,test/pos/162_8,1,Positive,2,0,3,0
204881,test/neg/4881_3,0,Negative,3,1,1,0
200350,test/neg/350_4,0,Negative,0,4,1,0
203606,test/neg/3606_4,0,Negative,0,2,3,0
220512,test/pos/8012_7,1,Positive,1,3,1,0
209260,test/neg/9260_4,0,Negative,1,1,3,0
215949,test/pos/3449_7,1,Positive,2,0,3,0
208981,test/neg/8981_4,0,Negative,0,1,4,0
213648,test/pos/1148_8,1,Positive,0,2,3,0
215343,test/pos/2843_7,1,Positive,0,1,0,4
203964,test/neg/3964_4,0,Negative,0,5,0,0
210260,test/neg/10260_1,0,Negative,0,5,0,0
224864,test/pos/12364_7,1,Positive,1,0,4,0
200858,test/neg/858_4,0,Negative,0,1,4,0
215465,test/pos/2965_7,1,Positive,0,1,4,0
224722,test/pos/12222_7,1,Positive,0,3,2,0
224127,test/pos/11627_8,1,Positive,1,1,0,3
210419,test/neg/10419_4,0,Negative,1,2,2,0
209756,test/neg/9756_4,0,Negative,1,3,1,0
212987,test/pos/487_10,1,Positive,0,3,0,2
205885,test/neg/5885_4,0,Negative,0,2,3,0
223769,test/pos/11269_7,1,Positive,3,1,1,0
214208,test/pos/1708_7,1,Positive,1,0,4,0
204425,test/neg/4425_3,0,Negative,0,3,2,0
205378,test/neg/5378_2,0,Negative,1,4,0,0
208014,test/neg/8014_4,0,Negative,0,4,1,0
219762,test/pos/7262_8,1,Positive,1,0,2,2
200181,test/neg/181_3,0,Negative,0,2,3,0
207696,test/neg/7696_1,0,Negative,0,1,2,2
217373,test/pos/4873_8,1,Positive,1,3,1,0
212639,test/pos/139_9,1,Positive,2,0,1,2
224132,test/pos/11632_10,1,Positive,2,0,0,3
215876,test/pos/3376_8,1,Positive,1,1,3,0
220123,test/pos/7623_8,1,Positive,5,0,0,0
209459,test/neg/9459_4,0,Negative,1,3,1,0
213514,test/pos/1014_8,1,Positive,3,0,2,0
205017,test/neg/5017_4,0,Negative,4,0,1,0
205529,test/neg/5529_4,0,Negative,0,2,3,0
202383,test/neg/2383_4,0,Negative,0,3,1,1
216634,test/pos/4134_7,1,Positive,2,0,3,0
223954,test/pos/11454_7,1,Positive,3,0,2,0
210166,test/neg/10166_4,0,Negative,0,4,1,0
209476,test/neg/9476_3,0,Negative,0,5,0,0
223099,test/pos/10599_8,1,Positive,2,3,0,0
200374,test/neg/374_4,0,Negative,0,2,1,2
205073,test/neg/5073_4,0,Negative,0,5,0,0
220858,test/pos/8358_7,1,Positive,3,0,2,0
211478,test/neg/11478_3,0,Negative,3,1,1,0
221953,test/pos/9453_7,1,Positive,2,1,1,1
203785,test/neg/3785_3,0,Negative,0,1,1,3
220576,test/pos/8076_10,1,Positive,2,0,0,3
217887,test/pos/5387_8,1,Positive,2,1,0,2
209227,test/neg/9227_1,0,Negative,1,4,0,0
223052,test/pos/10552_7,1,Positive,0,5,0,0
211700,test/neg/11700_4,0,Negative,0,5,0,0
204898,test/neg/4898_4,0,Negative,1,0,4,0
219942,test/pos/7442_7,1,Positive,1,1,3,0
215516,test/pos/3016_8,1,Positive,1,1,0,3
223783,test/pos/11283_8,1,Positive,5,0,0,0
217459,test/pos/4959_10,1,Positive,5,0,0,0
203824,test/neg/3824_3,0,Negative,1,2,2,0
207377,test/neg/7377_3,0,Negative,1,0,3,1
221124,test/pos/8624_10,1,Positive,0,3,2,0
210050,test/neg/10050_4,0,Negative,2,2,1,0
210146,test/neg/10146_1,0,Negative,4,0,1,0
209552,test/neg/9552_2,0,Negative,0,4,1,0
202504,test/neg/2504_3,0,Negative,4,0,1,0
203603,test/neg/3603_3,0,Negative,0,4,1,0
215510,test/pos/3010_7,1,Positive,0,0,5,0
204984,test/neg/4984_4,0,Negative,0,2,3,0
207325,test/neg/7325_4,0,Negative,5,0,0,0
204890,test/neg/4890_3,0,Negative,2,0,3,0
208469,test/neg/8469_2,0,Negative,0,2,2,1
204070,test/neg/4070_1,0,Negative,2,2,1,0
223609,test/pos/11109_7,1,Positive,2,0,3,0
217755,test/pos/5255_7,1,Positive,0,1,4,0
223014,test/pos/10514_9,1,Positive,3,1,0,1
221065,test/pos/8565_9,1,Positive,1,1,3,0
220417,test/pos/7917_8,1,Positive,5,0,0,0
203586,test/neg/3586_4,0,Negative,4,0,1,0
207262,test/neg/7262_4,0,Negative,0,2,3,0
220124,test/pos/7624_10,1,Positive,1,3,1,0
221531,test/pos/9031_9,1,Positive,0,1,1,3
215218,test/pos/2718_9,1,Positive,0,1,2,2
213741,test/pos/1241_7,1,Positive,3,0,2,0
217759,test/pos/5259_7,1,Positive,4,0,1,0
202161,test/neg/2161_4,0,Negative,0,4,1,0
224726,test/pos/12226_7,1,Positive,2,1,2,0
201669,test/neg/1669_4,0,Negative,0,3,2,0
207115,test/neg/7115_4,0,Negative,4,0,1,0
200269,test/neg/269_2,0,Negative,0,0,0,5
210676,test/neg/10676_4,0,Negative,5,0,0,0
204383,test/neg/4383_4,0,Negative,0,3,2,0
222562,test/pos/10062_9,1,Positive,3,0,2,0
212820,test/pos/320_7,1,Positive,1,1,3,0
209096,test/neg/9096_3,0,Negative,0,5,0,0
213594,test/pos/1094_7,1,Positive,4,0,1,0
201560,test/neg/1560_4,0,Negative,1,1,3,0
211218,test/neg/11218_3,0,Negative,1,2,2,0
217034,test/pos/4534_7,1,Positive,1,3,1,0
222566,test/pos/10066_7,1,Positive,3,1,1,0
213166,test/pos/666_7,1,Positive,0,2,3,0
202514,test/neg/2514_4,0,Negative,5,0,0,0
208830,test/neg/8830_4,0,Negative,0,1,4,0
202164,test/neg/2164_4,0,Negative,1,2,2,0
219148,test/pos/6648_9,1,Positive,0,0,1,4
205873,test/neg/5873_3,0,Negative,0,5,0,0
217529,test/pos/5029_7,1,Positive,4,0,1,0
220122,test/pos/7622_8,1,Positive,2,1,2,0
200927,test/neg/927_3,0,Negative,3,1,1,0
214128,test/pos/1628_8,1,Positive,1,0,4,0
200686,test/neg/686_4,0,Negative,1,0,4,0
202239,test/neg/2239_1,0,Negative,2,3,0,0
204595,test/neg/4595_3,0,Negative,1,2,2,0
200834,test/neg/834_4,0,Negative,2,0,3,0
203378,test/neg/3378_3,0,Negative,4,0,0,1
211212,test/neg/11212_4,0,Negative,1,2,2,0
213242,test/pos/742_8,1,Positive,0,2,3,0
208473,test/neg/8473_4,0,Negative,0,3,2,0
209864,test/neg/9864_4,0,Negative,0,3,2,0
202593,test/neg/2593_1,0,Negative,1,1,3,0
201900,test/neg/1900_4,0,Negative,0,2,3,0
224040,test/pos/11540_10,1,Positive,5,0,0,0
209221,test/neg/9221_4,0,Negative,1,0,4,0
224439,test/pos/11939_7,1,Positive,1,0,3,1
215348,test/pos/2848_7,1,Positive,2,1,2,0
201003,test/neg/1003_4,0,Negative,1,1,3,0
209836,test/neg/9836_3,0,Negative,3,1,1,0
219464,test/pos/6964_8,1,Positive,0,2,3,0
222285,test/pos/9785_10,1,Positive,2,3,0,0
208183,test/neg/8183_3,0,Negative,1,0,2,2
214183,test/pos/1683_9,1,Positive,4,0,1,0
216841,test/pos/4341_7,1,Positive,2,2,1,0
220845,test/pos/8345_10,1,Positive,5,0,0,0
212144,test/neg/12144_4,0,Negative,0,2,3,0
208105,test/neg/8105_3,0,Negative,1,1,3,0
218550,test/pos/6050_10,1,Positive,2,0,0,3
214118,test/pos/1618_10,1,Positive,0,4,1,0
213679,test/pos/1179_7,1,Positive,3,0,2,0
203492,test/neg/3492_3,0,Negative,2,1,2,0
210650,test/neg/10650_4,0,Negative,1,0,4,0
217235,test/pos/4735_9,1,Positive,5,0,0,0
217456,test/pos/4956_9,1,Positive,1,3,1,0
203985,test/neg/3985_4,0,Negative,1,1,3,0
205051,test/neg/5051_4,0,Negative,2,1,1,1
213319,test/pos/819_7,1,Positive,3,1,1,0
210121,test/neg/10121_1,0,Negative,2,2,1,0
204000,test/neg/4000_4,0,Negative,3,0,2,0
207089,test/neg/7089_3,0,Negative,2,2,0,1
222355,test/pos/9855_9,1,Positive,1,3,0,1
216226,test/pos/3726_7,1,Positive,4,0,1,0
216310,test/pos/3810_7,1,Positive,2,1,2,0
206019,test/neg/6019_1,0,Negative,0,1,0,4
209253,test/neg/9253_4,0,Negative,2,0,3,0
210053,test/neg/10053_4,0,Negative,0,0,3,2
218244,test/pos/5744_10,1,Positive,4,1,0,0
217165,test/pos/4665_7,1,Positive,1,0,4,0
202400,test/neg/2400_1,0,Negative,4,0,0,1
203240,test/neg/3240_4,0,Negative,0,0,5,0
205929,test/neg/5929_4,0,Negative,0,2,3,0
217024,test/pos/4524_8,1,Positive,3,1,1,0
219440,test/pos/6940_10,1,Positive,2,1,0,2
220086,test/pos/7586_9,1,Positive,5,0,0,0
218353,test/pos/5853_8,1,Positive,5,0,0,0
222853,test/pos/10353_10,1,Positive,4,1,0,0
212415,test/neg/12415_2,0,Negative,3,1,1,0
202372,test/neg/2372_3,0,Negative,0,4,1,0
213728,test/pos/1228_7,1,Positive,3,0,2,0
202004,test/neg/2004_1,0,Negative,1,0,4,0
210788,test/neg/10788_4,0,Negative,4,0,1,0
202470,test/neg/2470_1,0,Negative,0,0,0,5
213368,test/pos/868_7,1,Positive,3,1,1,0
214570,test/pos/2070_10,1,Positive,1,4,0,0
217227,test/pos/4727_10,1,Positive,2,0,2,1
209154,test/neg/9154_2,0,Negative,5,0,0,0
219439,test/pos/6939_10,1,Positive,3,0,1,1
223000,test/pos/10500_7,1,Positive,1,1,3,0
207560,test/neg/7560_3,0,Negative,3,0,1,1
202497,test/neg/2497_2,0,Negative,1,0,4,0
207101,test/neg/7101_3,0,Negative,1,1,3,0
205878,test/neg/5878_3,0,Negative,1,1,3,0
200152,test/neg/152_4,0,Negative,5,0,0,0
224469,test/pos/11969_10,1,Positive,1,0,4,0
204841,test/neg/4841_3,0,Negative,2,1,2,0
224520,test/pos/12020_10,1,Positive,2,3,0,0
207092,test/neg/7092_1,0,Negative,4,0,0,1
217562,test/pos/5062_7,1,Positive,5,0,0,0
211767,test/neg/11767_2,0,Negative,0,5,0,0
207685,test/neg/7685_4,0,Negative,0,2,3,0
220800,test/pos/8300_7,1,Positive,5,0,0,0
200109,test/neg/109_4,0,Negative,3,0,2,0
224725,test/pos/12225_10,1,Positive,3,0,1,1
210678,test/neg/10678_2,0,Negative,1,1,0,3
215485,test/pos/2985_9,1,Positive,0,1,0,4
219149,test/pos/6649_10,1,Positive,1,0,4,0
200502,test/neg/502_4,0,Negative,1,1,2,1
221271,test/pos/8771_7,1,Positive,2,1,2,0
203592,test/neg/3592_1,0,Negative,5,0,0,0
218627,test/pos/6127_7,1,Positive,1,2,2,0
222855,test/pos/10355_10,1,Positive,4,0,1,0
202704,test/neg/2704_4,0,Negative,0,0,3,2
214452,test/pos/1952_7,1,Positive,3,0,1,1
216483,test/pos/3983_10,1,Positive,3,0,2,0
220804,test/pos/8304_7,1,Positive,4,1,0,0
224738,test/pos/12238_10,1,Positive,0,3,2,0
205389,test/neg/5389_4,0,Negative,0,0,5,0
209940,test/neg/9940_1,0,Negative,3,0,2,0
219438,test/pos/6938_8,1,Positive,0,1,4,0
224476,test/pos/11976_10,1,Positive,5,0,0,0
212136,test/neg/12136_4,0,Negative,0,3,2,0
211284,test/neg/11284_4,0,Negative,1,2,2,0
213404,test/pos/904_10,1,Positive,3,0,2,0
207380,test/neg/7380_1,0,Negative,2,0,0,3
222713,test/pos/10213_7,1,Positive,2,0,3,0
215498,test/pos/2998_8,1,Positive,1,0,4,0
206221,test/neg/6221_1,0,Negative,5,0,0,0
222101,test/pos/9601_10,1,Positive,0,2,1,2
221939,test/pos/9439_9,1,Positive,4,1,0,0
208335,test/neg/8335_1,0,Negative,4,0,1,0
215245,test/pos/2745_10,1,Positive,2,0,1,2
204640,test/neg/4640_4,0,Negative,0,3,2,0
202826,test/neg/2826_2,0,Negative,0,0,0,5
202376,test/neg/2376_4,0,Negative,5,0,0,0
221329,test/pos/8829_8,1,Positive,4,0,1,0
220334,test/pos/7834_8,1,Positive,5,0,0,0
204837,test/neg/4837_4,0,Negative,3,0,2,0
204514,test/neg/4514_3,0,Negative,0,1,4,0
202749,test/neg/2749_4,0,Negative,2,2,1,0
215550,test/pos/3050_7,1,Positive,5,0,0,0
222854,test/pos/10354_7,1,Positive,1,0,4,0
214440,test/pos/1940_9,1,Positive,0,2,1,2
214597,test/pos/2097_8,1,Positive,4,0,1,0
201454,test/neg/1454_4,0,Negative,0,1,4,0
211491,test/neg/11491_4,0,Negative,0,4,1,0
214010,test/pos/1510_8,1,Positive,2,0,3,0
203196,test/neg/3196_4,0,Negative,0,2,3,0
213394,test/pos/894_7,1,Positive,1,1,2,1
208820,test/neg/8820_2,0,Negative,0,5,0,0
201487,test/neg/1487_3,0,Negative,4,0,0,1
220963,test/pos/8463_10,1,Positive,0,1,3,1
215792,test/pos/3292_7,1,Positive,1,1,3,0
221488,test/pos/8988_7,1,Positive,1,2,2,0
219385,test/pos/6885_7,1,Positive,4,0,1,0
211385,test/neg/11385_4,0,Negative,1,2,2,0
206483,test/neg/6483_4,0,Negative,4,1,0,0
222185,test/pos/9685_10,1,Positive,4,1,0,0
208233,test/neg/8233_2,0,Negative,3,1,1,0
200983,test/neg/983_4,0,Negative,4,0,1,0
224156,test/pos/11656_8,1,Positive,0,0,4,1
218689,test/pos/6189_7,1,Positive,3,1,1,0
207056,test/neg/7056_4,0,Negative,0,3,1,1
201750,test/neg/1750_4,0,Negative,4,0,1,0
218628,test/pos/6128_10,1,Positive,5,0,0,0
218702,test/pos/6202_7,1,Positive,0,2,2,1
206822,test/neg/6822_1,0,Negative,1,0,0,4
216195,test/pos/3695_7,1,Positive,3,0,1,1
222095,test/pos/9595_10,1,Positive,3,0,1,1
213322,test/pos/822_10,1,Positive,4,0,1,0
207452,test/neg/7452_1,0,Negative,0,1,4,0
224562,test/pos/12062_10,1,Positive,3,0,0,2
206850,test/neg/6850_2,0,Negative,5,0,0,0
213603,test/pos/1103_10,1,Positive,2,0,2,1
215597,test/pos/3097_9,1,Positive,2,1,2,0
216868,test/pos/4368_10,1,Positive,2,0,3,0
218105,test/pos/5605_10,1,Positive,4,0,1,0
222193,test/pos/9693_7,1,Positive,0,3,2,0
209437,test/neg/9437_3,0,Negative,1,2,2,0
203720,test/neg/3720_4,0,Negative,2,0,3,0
217073,test/pos/4573_10,1,Positive,5,0,0,0
205828,test/neg/5828_4,0,Negative,1,1,3,0
202871,test/neg/2871_2,0,Negative,2,0,3,0
212279,test/neg/12279_4,0,Negative,4,0,1,0
223139,test/pos/10639_10,1,Positive,0,0,1,4
224382,test/pos/11882_10,1,Positive,0,3,2,0
200935,test/neg/935_4,0,Negative,4,0,1,0
213832,test/pos/1332_7,1,Positive,3,0,2,0
213032,test/pos/532_8,1,Positive,2,2,1,0
223050,test/pos/10550_8,1,Positive,1,0,4,0
224414,test/pos/11914_7,1,Positive,3,0,2,0
224533,test/pos/12033_7,1,Positive,3,0,2,0
217720,test/pos/5220_10,1,Positive,2,1,2,0
223910,test/pos/11410_7,1,Positive,3,2,0,0
218352,test/pos/5852_7,1,Positive,3,0,2,0
223785,test/pos/11285_8,1,Positive,1,0,4,0
219010,test/pos/6510_7,1,Positive,2,0,3,0
205335,test/neg/5335_4,0,Negative,1,2,2,0
209447,test/neg/9447_4,0,Negative,0,4,1,0
224856,test/pos/12356_10,1,Positive,2,0,3,0
222858,test/pos/10358_7,1,Positive,2,0,3,0
224493,test/pos/11993_10,1,Positive,1,0,4,0
210158,test/neg/10158_2,0,Negative,0,5,0,0
219393,test/pos/6893_7,1,Positive,4,0,1,0
219712,test/pos/7212_9,1,Positive,4,0,1,0
223442,test/pos/10942_7,1,Positive,1,0,4,0
218025,test/pos/5525_7,1,Positive,2,1,2,0
222135,test/pos/9635_8,1,Positive,4,0,1,0
208510,test/neg/8510_4,0,Negative,4,0,1,0
208462,test/neg/8462_4,0,Negative,1,1,3,0
223922,test/pos/11422_7,1,Positive,2,0,3,0
214117,test/pos/1617_7,1,Positive,5,0,0,0
218039,test/pos/5539_7,1,Positive,3,1,1,0
216567,test/pos/4067_8,1,Positive,3,0,2,0
202869,test/neg/2869_3,0,Negative,1,2,2,0
207443,test/neg/7443_1,0,Negative,0,0,5,0
214816,test/pos/2316_8,1,Positive,5,0,0,0
213868,test/pos/1368_8,1,Positive,4,0,1,0
219463,test/pos/6963_8,1,Positive,3,1,1,0
218747,test/pos/6247_10,1,Positive,2,0,1,2
217356,test/pos/4856_8,1,Positive,0,1,1,3
221661,test/pos/9161_7,1,Positive,3,0,2,0
207637,test/neg/7637_4,0,Negative,5,0,0,0
214277,test/pos/1777_10,1,Positive,0,2,3,0
205942,test/neg/5942_4,0,Negative,1,1,3,0
201596,test/neg/1596_3,0,Negative,2,2,0,1
218775,test/pos/6275_9,1,Positive,4,0,1,0
219230,test/pos/6730_7,1,Positive,1,2,2,0
207248,test/neg/7248_3,0,Negative,0,4,1,0
208211,test/neg/8211_3,0,Negative,0,3,2,0
216843,test/pos/4343_10,1,Positive,5,0,0,0
200464,test/neg/464_4,0,Negative,1,2,2,0
216720,test/pos/4220_8,1,Positive,1,1,3,0
