idx,label,votes_negative,votes_neither,votes_neutral,votes_positive,FML_3_pred,FML_3_flagged,FML_3_sent,FML_3_result_mt,FME_pred,FME_flagged,FME_sent,FME_result_mt,FME_CL_flagged,FME_CL_sent,FME_CL_result_mt,BL_CL_pred,BL_CL_flagged,BL_CL_sent,BL_CL_result_mt
204319,0,2,,3,,0,TRUE,TRUE,NA: Neutral,0,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral
223792,1,,1,,4,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
224894,1,1,,4,,0,TRUE,TRUE,NA: Neutral,0,TRUE,TRUE,NA: Neutral,TRUE,TRUE,NA: Neutral,0,FALSE,FALSE,NA: Neutral
223794,1,1,,4,,1,FALSE,FALSE,NA: Neutral,1,TRUE,TRUE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,FALSE,FALSE,NA: Neutral
203777,0,3,,,2,1,TRUE,TRUE,Non-Error,0,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error
223800,1,,,,5,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
207924,0,2,,2,1,1,TRUE,TRUE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement
223814,1,1,1,2,1,1,FALSE,FALSE,NA: Non-Agreement,1,TRUE,TRUE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
219213,1,,,,5,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
223815,1,,,2,3,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
221719,1,,,1,4,0,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
223840,1,2,,2,1,0,TRUE,TRUE,NA: Non-Agreement,0,TRUE,TRUE,NA: Non-Agreement,TRUE,TRUE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
218276,1,,,5,,1,TRUE,TRUE,NA: Neutral,1,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,FALSE,FALSE,NA: Neutral
223857,1,,,,5,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
200705,0,5,,,,0,TRUE,TRUE,Non-Error,0,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error
223878,1,,,3,2,0,TRUE,TRUE,NA: Neutral,0,TRUE,TRUE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,FALSE,FALSE,NA: Neutral
210912,0,2,,3,,0,TRUE,TRUE,NA: Neutral,0,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral
223894,1,1,,,4,1,FALSE,FALSE,Non-Error,1,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
224558,1,1,1,2,1,1,TRUE,TRUE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
223910,1,2,,,3,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
206863,0,,,,5,0,TRUE,TRUE,Correctable,0,FALSE,FALSE,Correctable,FALSE,FALSE,Correctable,1,FALSE,FALSE,Correctable
223920,1,1,,,4,0,TRUE,TRUE,Non-Error,0,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
200024,0,2,,3,,0,TRUE,TRUE,NA: Neutral,0,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral
223922,1,,,3,2,1,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,TRUE,TRUE,NA: Neutral
212138,0,2,,3,,1,TRUE,TRUE,NA: Neutral,0,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral
223928,1,2,,2,1,0,TRUE,TRUE,NA: Non-Agreement,0,TRUE,TRUE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
218268,1,,,,5,0,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
223944,1,,,,5,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
200816,0,4,,1,,0,TRUE,TRUE,Non-Error,0,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error
223949,1,,,3,2,0,TRUE,TRUE,NA: Neutral,0,TRUE,TRUE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,TRUE,TRUE,NA: Neutral
220583,1,,,3,2,1,TRUE,TRUE,NA: Neutral,1,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,FALSE,FALSE,NA: Neutral
223953,1,,,,5,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
208311,0,1,,2,2,0,TRUE,TRUE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement
223954,1,,,2,3,1,TRUE,TRUE,Non-Error,0,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
218524,1,1,,1,3,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
223968,1,,,,5,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
214537,1,1,,3,1,1,TRUE,TRUE,NA: Neutral,1,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,FALSE,FALSE,NA: Neutral
223971,1,,,,5,1,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
222691,1,1,,,4,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
223981,1,,,1,4,0,TRUE,TRUE,Non-Error,0,TRUE,TRUE,Non-Error,TRUE,TRUE,Non-Error,0,TRUE,TRUE,Non-Error
214015,1,1,,,4,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
223992,1,,,1,4,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
203920,0,2,,3,,0,TRUE,TRUE,NA: Neutral,0,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral
224016,1,,,1,4,0,TRUE,TRUE,Non-Error,0,TRUE,TRUE,Non-Error,TRUE,TRUE,Non-Error,0,TRUE,TRUE,Non-Error
211182,0,1,,4,,1,TRUE,TRUE,NA: Neutral,0,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral
224025,1,,,2,3,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
224615,1,1,,1,3,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
224037,1,3,,1,1,0,TRUE,TRUE,Correctable,0,TRUE,TRUE,Correctable,TRUE,TRUE,Correctable,0,TRUE,TRUE,Correctable
220856,1,,,2,3,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
224040,1,,,,5,0,TRUE,TRUE,Non-Error,0,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
206246,0,2,,1,2,0,TRUE,TRUE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement
224063,1,,,,5,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
219311,1,,,1,4,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
224080,1,3,,2,,0,TRUE,TRUE,Correctable,0,TRUE,TRUE,Correctable,FALSE,FALSE,Correctable,0,FALSE,FALSE,Correctable
223501,1,,,2,3,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
224082,1,,,3,2,0,TRUE,TRUE,NA: Neutral,0,TRUE,TRUE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,FALSE,FALSE,NA: Neutral
210499,0,4,,,1,0,TRUE,TRUE,Non-Error,0,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error
224098,1,2,,1,2,0,TRUE,TRUE,NA: Non-Agreement,0,TRUE,TRUE,NA: Non-Agreement,TRUE,TRUE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
202715,0,4,,1,,0,TRUE,TRUE,Non-Error,0,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error
224102,1,,,5,,1,FALSE,FALSE,NA: Neutral,1,TRUE,TRUE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,FALSE,FALSE,NA: Neutral
218436,1,,1,2,2,1,TRUE,TRUE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
224105,1,4,,1,,0,TRUE,TRUE,Correctable,0,TRUE,TRUE,Correctable,TRUE,TRUE,Correctable,0,FALSE,FALSE,Correctable
202545,0,2,,3,,0,TRUE,TRUE,NA: Neutral,0,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral
224108,1,2,,,3,0,TRUE,TRUE,Non-Error,0,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
217025,1,,,2,3,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
224127,1,1,3,,1,0,TRUE,TRUE,NA: Neither,0,TRUE,TRUE,NA: Neither,FALSE,FALSE,NA: Neither,0,TRUE,TRUE,NA: Neither
209070,0,,,,5,0,TRUE,TRUE,Correctable,0,FALSE,FALSE,Correctable,FALSE,FALSE,Correctable,1,FALSE,FALSE,Correctable
224130,1,,,1,4,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
202698,0,2,,1,2,0,TRUE,TRUE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement
224132,1,,3,,2,0,TRUE,TRUE,NA: Neither,0,TRUE,TRUE,NA: Neither,FALSE,FALSE,NA: Neither,0,TRUE,TRUE,NA: Neither
217118,1,,,,5,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
224134,1,,,,5,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
213216,1,,,,5,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
224136,1,,,1,4,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
224893,1,1,,3,1,0,TRUE,TRUE,NA: Neutral,0,TRUE,TRUE,NA: Neutral,TRUE,TRUE,NA: Neutral,0,FALSE,FALSE,NA: Neutral
224142,1,2,,1,2,0,TRUE,TRUE,NA: Non-Agreement,0,TRUE,TRUE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
224933,1,1,,,4,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
224156,1,,1,4,,1,TRUE,TRUE,NA: Neutral,1,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,TRUE,TRUE,NA: Neutral
224977,1,,,,5,0,TRUE,TRUE,Non-Error,1,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
224191,1,,1,4,,1,FALSE,FALSE,NA: Neutral,0,TRUE,TRUE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,FALSE,FALSE,NA: Neutral
210924,0,,,5,,0,TRUE,TRUE,NA: Neutral,0,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral
224198,1,,,,5,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
214415,1,4,,1,,0,TRUE,TRUE,Correctable,1,FALSE,FALSE,Correctable,FALSE,FALSE,Correctable,0,FALSE,FALSE,Correctable
224199,1,,,,5,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
216259,1,,1,2,2,1,TRUE,TRUE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
224212,1,,,1,4,0,TRUE,TRUE,Non-Error,0,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
215104,1,,,1,4,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
224216,1,,5,,,0,TRUE,TRUE,NA: Neither,0,TRUE,TRUE,NA: Neither,TRUE,TRUE,NA: Neither,0,TRUE,TRUE,NA: Neither
218622,1,2,,3,,1,TRUE,TRUE,NA: Neutral,1,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,FALSE,FALSE,NA: Neutral
224236,1,,1,2,2,0,TRUE,TRUE,NA: Non-Agreement,1,TRUE,TRUE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
219433,1,,,1,4,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
